,index,Geslacht,Persoonskenmerken,RegioS,RegioNaam,Perioden,BevolkingOp1Januari_1,LeeftijdNum,LeeftijdNaam
0,0,Man,15_tot_25,GM0484,Alphen aan den Rijn,2020,692,15,15 jaar
1,1,Man,15_tot_25,GM0377,Bloemendaal,2020,178,15,15 jaar
2,2,Man,15_tot_25,GM0392,Haarlem,2020,862,15,15 jaar
3,3,Man,15_tot_25,GM0393,Haarlemmerliede en Spaarnwoude,2020,0,15,15 jaar
4,4,Man,15_tot_25,GM0394,Haarlemmermeer,2020,1105,15,15 jaar
5,5,Man,15_tot_25,GM0397,Heemstede,2020,169,15,15 jaar
6,6,Man,15_tot_25,GM0534,Hillegom,2020,127,15,15 jaar
7,7,Man,15_tot_25,GM1884,Kaag en Braassem,2020,185,15,15 jaar
8,8,Man,15_tot_25,GM0537,Katwijk,2020,475,15,15 jaar
9,9,Man,15_tot_25,GM0546,Leiden,2020,540,15,15 jaar
10,10,Man,15_tot_25,GM0547,Leiderdorp,2020,164,15,15 jaar
11,11,Man,15_tot_25,GM1916,Leidschendam-Voorburg,2020,435,15,15 jaar
12,12,Man,15_tot_25,GM0553,Lisse,2020,139,15,15 jaar
13,13,Man,15_tot_25,GM0575,Noordwijk,2020,261,15,15 jaar
14,14,Man,15_tot_25,GM0576,Noordwijkerhout,2020,0,15,15 jaar
15,15,Man,15_tot_25,GM0579,Oegstgeest,2020,166,15,15 jaar
16,16,Man,15_tot_25,GM1525,Teylingen,2020,278,15,15 jaar
17,17,Man,15_tot_25,GM0629,Wassenaar,2020,197,15,15 jaar
18,18,Man,15_tot_25,GM0473,Zandvoort,2020,71,15,15 jaar
19,19,Man,15_tot_25,GM0638,Zoeterwoude,2020,60,15,15 jaar
20,20,Man,15_tot_25,GM0484,Alphen aan den Rijn,2020,0,15,15 jaar
21,21,Man,15_tot_25,GM0377,Bloemendaal,2020,0,15,15 jaar
22,22,Man,15_tot_25,GM0392,Haarlem,2020,0,15,15 jaar
23,23,Man,15_tot_25,GM0393,Haarlemmerliede en Spaarnwoude,2020,0,15,15 jaar
24,24,Man,15_tot_25,GM0394,Haarlemmermeer,2020,0,15,15 jaar
25,25,Man,15_tot_25,GM0397,Heemstede,2020,0,15,15 jaar
26,26,Man,15_tot_25,GM0534,Hillegom,2020,0,15,15 jaar
27,27,Man,15_tot_25,GM1884,Kaag en Braassem,2020,0,15,15 jaar
28,28,Man,15_tot_25,GM0537,Katwijk,2020,0,15,15 jaar
29,29,Man,15_tot_25,GM0546,Leiden,2020,0,15,15 jaar
30,30,Man,15_tot_25,GM0547,Leiderdorp,2020,0,15,15 jaar
31,31,Man,15_tot_25,GM1916,Leidschendam-Voorburg,2020,0,15,15 jaar
32,32,Man,15_tot_25,GM0553,Lisse,2020,0,15,15 jaar
33,33,Man,15_tot_25,GM0575,Noordwijk,2020,0,15,15 jaar
34,34,Man,15_tot_25,GM0576,Noordwijkerhout,2020,0,15,15 jaar
35,35,Man,15_tot_25,GM0579,Oegstgeest,2020,0,15,15 jaar
36,36,Man,15_tot_25,GM1525,Teylingen,2020,0,15,15 jaar
37,37,Man,15_tot_25,GM0629,Wassenaar,2020,0,15,15 jaar
38,38,Man,15_tot_25,GM0473,Zandvoort,2020,0,15,15 jaar
39,39,Man,15_tot_25,GM0638,Zoeterwoude,2020,0,15,15 jaar
40,40,Man,15_tot_25,GM0484,Alphen aan den Rijn,2020,0,15,15 jaar
41,41,Man,15_tot_25,GM0377,Bloemendaal,2020,0,15,15 jaar
42,42,Man,15_tot_25,GM0392,Haarlem,2020,0,15,15 jaar
43,43,Man,15_tot_25,GM0393,Haarlemmerliede en Spaarnwoude,2020,0,15,15 jaar
44,44,Man,15_tot_25,GM0394,Haarlemmermeer,2020,0,15,15 jaar
45,45,Man,15_tot_25,GM0397,Heemstede,2020,0,15,15 jaar
46,46,Man,15_tot_25,GM0534,Hillegom,2020,0,15,15 jaar
47,47,Man,15_tot_25,GM1884,Kaag en Braassem,2020,0,15,15 jaar
48,48,Man,15_tot_25,GM0537,Katwijk,2020,0,15,15 jaar
49,49,Man,15_tot_25,GM0546,Leiden,2020,0,15,15 jaar
50,50,Man,15_tot_25,GM0547,Leiderdorp,2020,0,15,15 jaar
51,51,Man,15_tot_25,GM1916,Leidschendam-Voorburg,2020,0,15,15 jaar
52,52,Man,15_tot_25,GM0553,Lisse,2020,0,15,15 jaar
53,53,Man,15_tot_25,GM0575,Noordwijk,2020,0,15,15 jaar
54,54,Man,15_tot_25,GM0576,Noordwijkerhout,2020,0,15,15 jaar
55,55,Man,15_tot_25,GM0579,Oegstgeest,2020,0,15,15 jaar
56,56,Man,15_tot_25,GM1525,Teylingen,2020,0,15,15 jaar
57,57,Man,15_tot_25,GM0629,Wassenaar,2020,0,15,15 jaar
58,58,Man,15_tot_25,GM0473,Zandvoort,2020,0,15,15 jaar
59,59,Man,15_tot_25,GM0638,Zoeterwoude,2020,0,15,15 jaar
60,60,Man,15_tot_25,GM0484,Alphen aan den Rijn,2020,0,15,15 jaar
