ID;Geslacht;LeeftijdNaam;BurgerlijkeStaat;RegioS;RegioNaam;Perioden;BevolkingOp1Januari_1
16487414;Mannen;0 jaar;Ongehuwd;GM0484;Alphen aan den Rijn;2020;563
16487415;Mannen;0 jaar;Ongehuwd;GM0484;Alphen aan den Rijn;2021;579
16490032;Mannen;0 jaar;Ongehuwd;GM0377;Bloemendaal;2020;74
16490033;Mannen;0 jaar;Ongehuwd;GM0377;Bloemendaal;2021;55
16495574;Mannen;0 jaar;Ongehuwd;GM0392;Haarlem;2020;980
16495575;Mannen;0 jaar;Ongehuwd;GM0392;Haarlem;2021;908
16495608;Mannen;0 jaar;Ongehuwd;GM0393;Haarlemmerliede en Spaarnwoude;2020;0
16495609;Mannen;0 jaar;Ongehuwd;GM0393;Haarlemmerliede en Spaarnwoude;2021;0
16495642;Mannen;0 jaar;Ongehuwd;GM0394;Haarlemmermeer;2020;710
16495643;Mannen;0 jaar;Ongehuwd;GM0394;Haarlemmermeer;2021;751
16496356;Mannen;0 jaar;Ongehuwd;GM0397;Heemstede;2020;100
16496357;Mannen;0 jaar;Ongehuwd;GM0397;Heemstede;2021;113
16497342;Mannen;0 jaar;Ongehuwd;GM0534;Hillegom;2020;102
16497343;Mannen;0 jaar;Ongehuwd;GM0534;Hillegom;2021;108
16498464;Mannen;0 jaar;Ongehuwd;GM1884;Kaag en Braassem;2020;166
16498465;Mannen;0 jaar;Ongehuwd;GM1884;Kaag en Braassem;2021;144
16498634;Mannen;0 jaar;Ongehuwd;GM0537;Katwijk;2020;354
16498635;Mannen;0 jaar;Ongehuwd;GM0537;Katwijk;2021;363
16499688;Mannen;0 jaar;Ongehuwd;GM0546;Leiden;2020;561
16499689;Mannen;0 jaar;Ongehuwd;GM0546;Leiden;2021;546
16499722;Mannen;0 jaar;Ongehuwd;GM0547;Leiderdorp;2020;142
16499723;Mannen;0 jaar;Ongehuwd;GM0547;Leiderdorp;2021;124
16499790;Mannen;0 jaar;Ongehuwd;GM1916;Leidschendam-Voorburg;2020;408
16499791;Mannen;0 jaar;Ongehuwd;GM1916;Leidschendam-Voorburg;2021;351
16500402;Mannen;0 jaar;Ongehuwd;GM0553;Lisse;2020;125
16500403;Mannen;0 jaar;Ongehuwd;GM0553;Lisse;2021;106
16503972;Mannen;0 jaar;Ongehuwd;GM0575;Noordwijk;2020;171
16503973;Mannen;0 jaar;Ongehuwd;GM0575;Noordwijk;2021;203
16504006;Mannen;0 jaar;Ongehuwd;GM0576;Noordwijkerhout;2020;0
16504007;Mannen;0 jaar;Ongehuwd;GM0576;Noordwijkerhout;2021;0
16504346;Mannen;0 jaar;Ongehuwd;GM0579;Oegstgeest;2020;122
16504347;Mannen;0 jaar;Ongehuwd;GM0579;Oegstgeest;2021;131
16509786;Mannen;0 jaar;Ongehuwd;GM1525;Teylingen;2020;189
16509787;Mannen;0 jaar;Ongehuwd;GM1525;Teylingen;2021;198
16512132;Mannen;0 jaar;Ongehuwd;GM0629;Wassenaar;2020;72
16512133;Mannen;0 jaar;Ongehuwd;GM0629;Wassenaar;2021;87
16514070;Mannen;0 jaar;Ongehuwd;GM0473;Zandvoort;2020;64
16514071;Mannen;0 jaar;Ongehuwd;GM0473;Zandvoort;2021;62
16514614;Mannen;0 jaar;Ongehuwd;GM0638;Zoeterwoude;2020;51
16514615;Mannen;0 jaar;Ongehuwd;GM0638;Zoeterwoude;2021;46
16517606;Mannen;0 jaar;Gehuwd;GM0484;Alphen aan den Rijn;2020;0
16517607;Mannen;0 jaar;Gehuwd;GM0484;Alphen aan den Rijn;2021;0
16520224;Mannen;0 jaar;Gehuwd;GM0377;Bloemendaal;2020;0
16520225;Mannen;0 jaar;Gehuwd;GM0377;Bloemendaal;2021;0
16525766;Mannen;0 jaar;Gehuwd;GM0392;Haarlem;2020;0
16525767;Mannen;0 jaar;Gehuwd;GM0392;Haarlem;2021;0
16525800;Mannen;0 jaar;Gehuwd;GM0393;Haarlemmerliede en Spaarnwoude;2020;0
16525801;Mannen;0 jaar;Gehuwd;GM0393;Haarlemmerliede en Spaarnwoude;2021;0
16525834;Mannen;0 jaar;Gehuwd;GM0394;Haarlemmermeer;2020;0
16525835;Mannen;0 jaar;Gehuwd;GM0394;Haarlemmermeer;2021;0
16526548;Mannen;0 jaar;Gehuwd;GM0397;Heemstede;2020;0
16526549;Mannen;0 jaar;Gehuwd;GM0397;Heemstede;2021;0
16527534;Mannen;0 jaar;Gehuwd;GM0534;Hillegom;2020;0
16527535;Mannen;0 jaar;Gehuwd;GM0534;Hillegom;2021;0
16528656;Mannen;0 jaar;Gehuwd;GM1884;Kaag en Braassem;2020;0
16528657;Mannen;0 jaar;Gehuwd;GM1884;Kaag en Braassem;2021;0
16528826;Mannen;0 jaar;Gehuwd;GM0537;Katwijk;2020;0
16528827;Mannen;0 jaar;Gehuwd;GM0537;Katwijk;2021;0
16529880;Mannen;0 jaar;Gehuwd;GM0546;Leiden;2020;0
16529881;Mannen;0 jaar;Gehuwd;GM0546;Leiden;2021;0
16529914;Mannen;0 jaar;Gehuwd;GM0547;Leiderdorp;2020;0
16529915;Mannen;0 jaar;Gehuwd;GM0547;Leiderdorp;2021;0
16529982;Mannen;0 jaar;Gehuwd;GM1916;Leidschendam-Voorburg;2020;0
16529983;Mannen;0 jaar;Gehuwd;GM1916;Leidschendam-Voorburg;2021;0
16530594;Mannen;0 jaar;Gehuwd;GM0553;Lisse;2020;0
16530595;Mannen;0 jaar;Gehuwd;GM0553;Lisse;2021;0
16534164;Mannen;0 jaar;Gehuwd;GM0575;Noordwijk;2020;0
16534165;Mannen;0 jaar;Gehuwd;GM0575;Noordwijk;2021;0
16534198;Mannen;0 jaar;Gehuwd;GM0576;Noordwijkerhout;2020;0
16534199;Mannen;0 jaar;Gehuwd;GM0576;Noordwijkerhout;2021;0
16534538;Mannen;0 jaar;Gehuwd;GM0579;Oegstgeest;2020;0
16534539;Mannen;0 jaar;Gehuwd;GM0579;Oegstgeest;2021;0
16539978;Mannen;0 jaar;Gehuwd;GM1525;Teylingen;2020;0
16539979;Mannen;0 jaar;Gehuwd;GM1525;Teylingen;2021;0
16542324;Mannen;0 jaar;Gehuwd;GM0629;Wassenaar;2020;0
16542325;Mannen;0 jaar;Gehuwd;GM0629;Wassenaar;2021;0
16544262;Mannen;0 jaar;Gehuwd;GM0473;Zandvoort;2020;0
16544263;Mannen;0 jaar;Gehuwd;GM0473;Zandvoort;2021;0
16544806;Mannen;0 jaar;Gehuwd;GM0638;Zoeterwoude;2020;0
16544807;Mannen;0 jaar;Gehuwd;GM0638;Zoeterwoude;2021;0
16547798;Mannen;0 jaar;Verweduwd;GM0484;Alphen aan den Rijn;2020;0
16547799;Mannen;0 jaar;Verweduwd;GM0484;Alphen aan den Rijn;2021;0
16550416;Mannen;0 jaar;Verweduwd;GM0377;Bloemendaal;2020;0
16550417;Mannen;0 jaar;Verweduwd;GM0377;Bloemendaal;2021;0
16555958;Mannen;0 jaar;Verweduwd;GM0392;Haarlem;2020;0
16555959;Mannen;0 jaar;Verweduwd;GM0392;Haarlem;2021;0
16555992;Mannen;0 jaar;Verweduwd;GM0393;Haarlemmerliede en Spaarnwoude;2020;0
16555993;Mannen;0 jaar;Verweduwd;GM0393;Haarlemmerliede en Spaarnwoude;2021;0
16556026;Mannen;0 jaar;Verweduwd;GM0394;Haarlemmermeer;2020;0
16556027;Mannen;0 jaar;Verweduwd;GM0394;Haarlemmermeer;2021;0
16556740;Mannen;0 jaar;Verweduwd;GM0397;Heemstede;2020;0
16556741;Mannen;0 jaar;Verweduwd;GM0397;Heemstede;2021;0
16557726;Mannen;0 jaar;Verweduwd;GM0534;Hillegom;2020;0
16557727;Mannen;0 jaar;Verweduwd;GM0534;Hillegom;2021;0
16558848;Mannen;0 jaar;Verweduwd;GM1884;Kaag en Braassem;2020;0
16558849;Mannen;0 jaar;Verweduwd;GM1884;Kaag en Braassem;2021;0
16559018;Mannen;0 jaar;Verweduwd;GM0537;Katwijk;2020;0
16559019;Mannen;0 jaar;Verweduwd;GM0537;Katwijk;2021;0
16560072;Mannen;0 jaar;Verweduwd;GM0546;Leiden;2020;0
16560073;Mannen;0 jaar;Verweduwd;GM0546;Leiden;2021;0
16560106;Mannen;0 jaar;Verweduwd;GM0547;Leiderdorp;2020;0
16560107;Mannen;0 jaar;Verweduwd;GM0547;Leiderdorp;2021;0
16560174;Mannen;0 jaar;Verweduwd;GM1916;Leidschendam-Voorburg;2020;0
16560175;Mannen;0 jaar;Verweduwd;GM1916;Leidschendam-Voorburg;2021;0
16560786;Mannen;0 jaar;Verweduwd;GM0553;Lisse;2020;0
16560787;Mannen;0 jaar;Verweduwd;GM0553;Lisse;2021;0
16564356;Mannen;0 jaar;Verweduwd;GM0575;Noordwijk;2020;0
16564357;Mannen;0 jaar;Verweduwd;GM0575;Noordwijk;2021;0
16564390;Mannen;0 jaar;Verweduwd;GM0576;Noordwijkerhout;2020;0
16564391;Mannen;0 jaar;Verweduwd;GM0576;Noordwijkerhout;2021;0
16564730;Mannen;0 jaar;Verweduwd;GM0579;Oegstgeest;2020;0
16564731;Mannen;0 jaar;Verweduwd;GM0579;Oegstgeest;2021;0
16570170;Mannen;0 jaar;Verweduwd;GM1525;Teylingen;2020;0
16570171;Mannen;0 jaar;Verweduwd;GM1525;Teylingen;2021;0
16572516;Mannen;0 jaar;Verweduwd;GM0629;Wassenaar;2020;0
16572517;Mannen;0 jaar;Verweduwd;GM0629;Wassenaar;2021;0
16574454;Mannen;0 jaar;Verweduwd;GM0473;Zandvoort;2020;0
16574455;Mannen;0 jaar;Verweduwd;GM0473;Zandvoort;2021;0
16574998;Mannen;0 jaar;Verweduwd;GM0638;Zoeterwoude;2020;0
16574999;Mannen;0 jaar;Verweduwd;GM0638;Zoeterwoude;2021;0
16577990;Mannen;0 jaar;Gescheiden;GM0484;Alphen aan den Rijn;2020;0
16577991;Mannen;0 jaar;Gescheiden;GM0484;Alphen aan den Rijn;2021;0
16580608;Mannen;0 jaar;Gescheiden;GM0377;Bloemendaal;2020;0
16580609;Mannen;0 jaar;Gescheiden;GM0377;Bloemendaal;2021;0
16586150;Mannen;0 jaar;Gescheiden;GM0392;Haarlem;2020;0
16586151;Mannen;0 jaar;Gescheiden;GM0392;Haarlem;2021;0
16586184;Mannen;0 jaar;Gescheiden;GM0393;Haarlemmerliede en Spaarnwoude;2020;0
16586185;Mannen;0 jaar;Gescheiden;GM0393;Haarlemmerliede en Spaarnwoude;2021;0
16586218;Mannen;0 jaar;Gescheiden;GM0394;Haarlemmermeer;2020;0
16586219;Mannen;0 jaar;Gescheiden;GM0394;Haarlemmermeer;2021;0
16586932;Mannen;0 jaar;Gescheiden;GM0397;Heemstede;2020;0
16586933;Mannen;0 jaar;Gescheiden;GM0397;Heemstede;2021;0
16587918;Mannen;0 jaar;Gescheiden;GM0534;Hillegom;2020;0
16587919;Mannen;0 jaar;Gescheiden;GM0534;Hillegom;2021;0
16589040;Mannen;0 jaar;Gescheiden;GM1884;Kaag en Braassem;2020;0
16589041;Mannen;0 jaar;Gescheiden;GM1884;Kaag en Braassem;2021;0
16589210;Mannen;0 jaar;Gescheiden;GM0537;Katwijk;2020;0
16589211;Mannen;0 jaar;Gescheiden;GM0537;Katwijk;2021;0
16590264;Mannen;0 jaar;Gescheiden;GM0546;Leiden;2020;0
16590265;Mannen;0 jaar;Gescheiden;GM0546;Leiden;2021;0
16590298;Mannen;0 jaar;Gescheiden;GM0547;Leiderdorp;2020;0
16590299;Mannen;0 jaar;Gescheiden;GM0547;Leiderdorp;2021;0
16590366;Mannen;0 jaar;Gescheiden;GM1916;Leidschendam-Voorburg;2020;0
16590367;Mannen;0 jaar;Gescheiden;GM1916;Leidschendam-Voorburg;2021;0
16590978;Mannen;0 jaar;Gescheiden;GM0553;Lisse;2020;0
16590979;Mannen;0 jaar;Gescheiden;GM0553;Lisse;2021;0
16594548;Mannen;0 jaar;Gescheiden;GM0575;Noordwijk;2020;0
16594549;Mannen;0 jaar;Gescheiden;GM0575;Noordwijk;2021;0
16594582;Mannen;0 jaar;Gescheiden;GM0576;Noordwijkerhout;2020;0
16594583;Mannen;0 jaar;Gescheiden;GM0576;Noordwijkerhout;2021;0
16594922;Mannen;0 jaar;Gescheiden;GM0579;Oegstgeest;2020;0
16594923;Mannen;0 jaar;Gescheiden;GM0579;Oegstgeest;2021;0
16600362;Mannen;0 jaar;Gescheiden;GM1525;Teylingen;2020;0
16600363;Mannen;0 jaar;Gescheiden;GM1525;Teylingen;2021;0
16602708;Mannen;0 jaar;Gescheiden;GM0629;Wassenaar;2020;0
16602709;Mannen;0 jaar;Gescheiden;GM0629;Wassenaar;2021;0
16604646;Mannen;0 jaar;Gescheiden;GM0473;Zandvoort;2020;0
16604647;Mannen;0 jaar;Gescheiden;GM0473;Zandvoort;2021;0
16605190;Mannen;0 jaar;Gescheiden;GM0638;Zoeterwoude;2020;0
16605191;Mannen;0 jaar;Gescheiden;GM0638;Zoeterwoude;2021;0
16638374;Mannen;1 jaar;Ongehuwd;GM0484;Alphen aan den Rijn;2020;565
16638375;Mannen;1 jaar;Ongehuwd;GM0484;Alphen aan den Rijn;2021;567
16640992;Mannen;1 jaar;Ongehuwd;GM0377;Bloemendaal;2020;88
16640993;Mannen;1 jaar;Ongehuwd;GM0377;Bloemendaal;2021;90
16646534;Mannen;1 jaar;Ongehuwd;GM0392;Haarlem;2020;976
16646535;Mannen;1 jaar;Ongehuwd;GM0392;Haarlem;2021;945
16646568;Mannen;1 jaar;Ongehuwd;GM0393;Haarlemmerliede en Spaarnwoude;2020;0
16646569;Mannen;1 jaar;Ongehuwd;GM0393;Haarlemmerliede en Spaarnwoude;2021;0
16646602;Mannen;1 jaar;Ongehuwd;GM0394;Haarlemmermeer;2020;718
16646603;Mannen;1 jaar;Ongehuwd;GM0394;Haarlemmermeer;2021;722
16647316;Mannen;1 jaar;Ongehuwd;GM0397;Heemstede;2020;125
16647317;Mannen;1 jaar;Ongehuwd;GM0397;Heemstede;2021;131
16648302;Mannen;1 jaar;Ongehuwd;GM0534;Hillegom;2020;107
16648303;Mannen;1 jaar;Ongehuwd;GM0534;Hillegom;2021;103
16649424;Mannen;1 jaar;Ongehuwd;GM1884;Kaag en Braassem;2020;111
16649425;Mannen;1 jaar;Ongehuwd;GM1884;Kaag en Braassem;2021;166
16649594;Mannen;1 jaar;Ongehuwd;GM0537;Katwijk;2020;417
16649595;Mannen;1 jaar;Ongehuwd;GM0537;Katwijk;2021;361
16650648;Mannen;1 jaar;Ongehuwd;GM0546;Leiden;2020;506
16650649;Mannen;1 jaar;Ongehuwd;GM0546;Leiden;2021;538
16650682;Mannen;1 jaar;Ongehuwd;GM0547;Leiderdorp;2020;113
16650683;Mannen;1 jaar;Ongehuwd;GM0547;Leiderdorp;2021;149
16650750;Mannen;1 jaar;Ongehuwd;GM1916;Leidschendam-Voorburg;2020;398
16650751;Mannen;1 jaar;Ongehuwd;GM1916;Leidschendam-Voorburg;2021;421
16651362;Mannen;1 jaar;Ongehuwd;GM0553;Lisse;2020;109
16651363;Mannen;1 jaar;Ongehuwd;GM0553;Lisse;2021;123
16654932;Mannen;1 jaar;Ongehuwd;GM0575;Noordwijk;2020;202
16654933;Mannen;1 jaar;Ongehuwd;GM0575;Noordwijk;2021;180
16654966;Mannen;1 jaar;Ongehuwd;GM0576;Noordwijkerhout;2020;0
16654967;Mannen;1 jaar;Ongehuwd;GM0576;Noordwijkerhout;2021;0
16655306;Mannen;1 jaar;Ongehuwd;GM0579;Oegstgeest;2020;147
16655307;Mannen;1 jaar;Ongehuwd;GM0579;Oegstgeest;2021;138
16660746;Mannen;1 jaar;Ongehuwd;GM1525;Teylingen;2020;198
16660747;Mannen;1 jaar;Ongehuwd;GM1525;Teylingen;2021;200
16663092;Mannen;1 jaar;Ongehuwd;GM0629;Wassenaar;2020;81
16663093;Mannen;1 jaar;Ongehuwd;GM0629;Wassenaar;2021;86
16665030;Mannen;1 jaar;Ongehuwd;GM0473;Zandvoort;2020;58
16665031;Mannen;1 jaar;Ongehuwd;GM0473;Zandvoort;2021;60
16665574;Mannen;1 jaar;Ongehuwd;GM0638;Zoeterwoude;2020;40
16665575;Mannen;1 jaar;Ongehuwd;GM0638;Zoeterwoude;2021;48
16668566;Mannen;1 jaar;Gehuwd;GM0484;Alphen aan den Rijn;2020;0
16668567;Mannen;1 jaar;Gehuwd;GM0484;Alphen aan den Rijn;2021;0
16671184;Mannen;1 jaar;Gehuwd;GM0377;Bloemendaal;2020;0
16671185;Mannen;1 jaar;Gehuwd;GM0377;Bloemendaal;2021;0
16676726;Mannen;1 jaar;Gehuwd;GM0392;Haarlem;2020;0
16676727;Mannen;1 jaar;Gehuwd;GM0392;Haarlem;2021;0
16676760;Mannen;1 jaar;Gehuwd;GM0393;Haarlemmerliede en Spaarnwoude;2020;0
16676761;Mannen;1 jaar;Gehuwd;GM0393;Haarlemmerliede en Spaarnwoude;2021;0
16676794;Mannen;1 jaar;Gehuwd;GM0394;Haarlemmermeer;2020;0
16676795;Mannen;1 jaar;Gehuwd;GM0394;Haarlemmermeer;2021;0
16677508;Mannen;1 jaar;Gehuwd;GM0397;Heemstede;2020;0
