Geslacht;Persoonskenmerken;RegioS;RegioNaam;Perioden;Personen_1;aantal_persoonlijk_inkomen;AandeelPersonen_3;Gem_standaardiseerd_besteedbaar_inkomen;Mediaan_standaardiseerd_besteedbaar_inkomen;GemiddeldPersoonlijkInkomen_6;MediaanPersoonlijkInkomen_7
Man;15_tot_25_jaar;GM1680;Aa en Hunze;2019;1400;1200;11;36100;33400;11400;6700
Man;15_tot_25_jaar;GM1680;Aa en Hunze;2020;1400;1200;11;0;35400;0;6700
Man;15_tot_25_jaar;GM0358;Aalsmeer;2019;1900;1700;12;43100;37200;12300;7400
Man;15_tot_25_jaar;GM0358;Aalsmeer;2020;1900;1700;12;0;38500;0;7700
Man;15_tot_25_jaar;GM0197;Aalten;2019;1600;1500;12;35900;33000;13500;9100
Man;15_tot_25_jaar;GM0197;Aalten;2020;1600;1500;12;0;34200;0;9500
Man;15_tot_25_jaar;GM0059;Achtkarspelen;2019;1800;1600;13;31700;30200;13600;9200
Man;15_tot_25_jaar;GM0059;Achtkarspelen;2020;1800;1600;13;0;31900;0;9900
Man;15_tot_25_jaar;GM0482;Alblasserdam;2019;1300;1200;13;38500;34700;16100;10400
Man;15_tot_25_jaar;GM0482;Alblasserdam;2020;1300;1200;13;0;35900;0;11700
Man;15_tot_25_jaar;GM0613;Albrandswaard;2019;1400;1300;12;42000;36800;12000;5800
Man;15_tot_25_jaar;GM0613;Albrandswaard;2020;1500;1300;12;0;38100;0;6500
Man;15_tot_25_jaar;GM0361;Alkmaar;2019;5900;5500;11;34000;31600;13000;8500
Man;15_tot_25_jaar;GM0361;Alkmaar;2020;6000;5400;11;34700;32500;13200;8800
Man;15_tot_25_jaar;GM0141;Almelo;2019;4500;4100;13;30800;28400;12100;7800
Man;15_tot_25_jaar;GM0141;Almelo;2020;4500;4100;13;32200;30300;12600;8200
Man;15_tot_25_jaar;GM0034;Almere;2019;13600;12100;13;32600;30700;12100;7500
Man;15_tot_25_jaar;GM0034;Almere;2020;13700;12100;13;33300;31700;12200;7500
Man;15_tot_25_jaar;GM0484;Alphen aan den Rijn;2019;6600;6100;12;37500;33800;13800;8100
Man;15_tot_25_jaar;GM0484;Alphen aan den Rijn;2020;6700;6000;12;38800;35400;14200;8800
Man;15_tot_25_jaar;GM1723;Alphen-Chaam;2019;600;500;11;44100;38000;15500;9800
Man;15_tot_25_jaar;GM1723;Alphen-Chaam;2020;600;500;11;0;0;0;0
Man;15_tot_25_jaar;GM1959;Altena;2019;3500;3300;13;42400;35900;16800;12400
Man;15_tot_25_jaar;GM1959;Altena;2020;3500;3300;13;42800;37300;17600;13100
Man;15_tot_25_jaar;GM0060;Ameland;2019;200;200;10;34400;33200;17400;18200
Man;15_tot_25_jaar;GM0060;Ameland;2020;200;200;10;0;0;0;0
Man;15_tot_25_jaar;GM0307;Amersfoort;2019;9500;8600;13;36200;32500;11700;6800
Man;15_tot_25_jaar;GM0307;Amersfoort;2020;9600;8600;13;37500;34100;12100;6800
Man;15_tot_25_jaar;GM0362;Amstelveen;2019;4900;4100;11;37500;30500;10600;6100
Man;15_tot_25_jaar;GM0362;Amstelveen;2020;4900;4100;11;38600;31900;10800;6200
Man;15_tot_25_jaar;GM0363;Amsterdam;2019;48100;42700;12;27900;21400;13100;8200
Man;15_tot_25_jaar;GM0363;Amsterdam;2020;47700;41400;11;28800;22600;13300;8000
Man;15_tot_25_jaar;GM0200;Apeldoorn;2019;9400;8700;12;34400;31900;12400;7800
Man;15_tot_25_jaar;GM0200;Apeldoorn;2020;9500;8700;12;35400;33300;13000;8400
Man;15_tot_25_jaar;GM0202;Arnhem;2019;10100;9200;13;25600;22900;11600;7600
Man;15_tot_25_jaar;GM0202;Arnhem;2020;10000;9000;13;26700;24600;12000;7700
Man;15_tot_25_jaar;GM0106;Assen;2019;4100;3700;12;30500;29200;10800;6600
Man;15_tot_25_jaar;GM0106;Assen;2020;4100;3700;13;31700;30700;11300;7200
Man;15_tot_25_jaar;GM0743;Asten;2019;1100;1000;13;40100;36000;13600;8700
Man;15_tot_25_jaar;GM0743;Asten;2020;1100;1000;13;0;38100;0;9600
Man;15_tot_25_jaar;GM0744;Baarle-Nassau;2019;300;300;9;38300;35600;14700;8300
Man;15_tot_25_jaar;GM0744;Baarle-Nassau;2020;300;300;9;0;0;0;0
Man;15_tot_25_jaar;GM0308;Baarn;2019;1200;1100;11;48800;35200;10800;5800
Man;15_tot_25_jaar;GM0308;Baarn;2020;1300;1100;11;0;36000;0;6500
Man;15_tot_25_jaar;GM0489;Barendrecht;2019;3300;3000;14;41900;36700;12900;6600
Man;15_tot_25_jaar;GM0489;Barendrecht;2020;3300;2900;14;43200;38300;13500;7400
Man;15_tot_25_jaar;GM0203;Barneveld;2019;4000;3800;14;41100;36200;18500;13400
Man;15_tot_25_jaar;GM0203;Barneveld;2020;4100;3900;14;42500;38100;19700;14900
Man;15_tot_25_jaar;GM0888;Beek (L,);2019;800;700;11;36100;33800;12100;7400
Man;15_tot_25_jaar;GM0888;Beek (L,);2020;800;700;10;0;0;0;0
Man;15_tot_25_jaar;GM1954;Beekdaelen;2019;1900;1700;11;37200;34300;12400;7300
Man;15_tot_25_jaar;GM1954;Beekdaelen;2020;1900;1700;11;0;36000;0;7700
Man;15_tot_25_jaar;GM0370;Beemster;2019;500;500;12;46800;39400;14600;8800
Man;15_tot_25_jaar;GM0370;Beemster;2020;600;500;12;0;0;0;0
Man;15_tot_25_jaar;GM0889;Beesel;2019;800;700;12;35400;32200;12400;8300
Man;15_tot_25_jaar;GM0889;Beesel;2020;800;700;12;0;0;0;0
Man;15_tot_25_jaar;GM1945;Berg en Dal;2019;2000;1800;12;36100;33800;12000;7000
Man;15_tot_25_jaar;GM1945;Berg en Dal;2020;2000;1800;12;0;35100;0;8200
Man;15_tot_25_jaar;GM1724;Bergeijk;2019;1200;1100;12;41600;36700;15400;10400
Man;15_tot_25_jaar;GM1724;Bergeijk;2020;1200;1100;12;0;38100;0;10500
Man;15_tot_25_jaar;GM0893;Bergen (L,);2019;700;700;11;35200;34100;15300;11200
Man;15_tot_25_jaar;GM0893;Bergen (L,);2020;700;700;11;0;0;0;0
Man;15_tot_25_jaar;GM0373;Bergen (NH,);2019;1700;1500;12;48300;36100;11900;7200
Man;15_tot_25_jaar;GM0373;Bergen (NH,);2020;1600;1500;12;0;37200;0;7200
Man;15_tot_25_jaar;GM0748;Bergen op Zoom;2019;3800;3500;12;34300;31900;12900;8200
Man;15_tot_25_jaar;GM0748;Bergen op Zoom;2020;3800;3400;12;34900;33200;13700;8600
Man;15_tot_25_jaar;GM1859;Berkelland;2019;2600;2400;12;36300;33500;13000;8200
Man;15_tot_25_jaar;GM1859;Berkelland;2020;2600;2400;12;37900;34900;0;9200
Man;15_tot_25_jaar;GM1721;Bernheze;2019;2000;1900;13;43600;37600;13900;8800
Man;15_tot_25_jaar;GM1721;Bernheze;2020;2100;2000;13;0;39200;0;9700
Man;15_tot_25_jaar;GM0753;Best;2019;2000;1800;13;41000;36400;12300;7200
Man;15_tot_25_jaar;GM0753;Best;2020;2000;1800;13;0;38100;0;8200
Man;15_tot_25_jaar;GM0209;Beuningen;2019;1500;1400;12;39600;34800;11700;6200
Man;15_tot_25_jaar;GM0209;Beuningen;2020;1600;1400;12;0;35700;0;7400
Man;15_tot_25_jaar;GM0375;Beverwijk;2019;2300;2200;12;36000;32500;14000;8500
Man;15_tot_25_jaar;GM0375;Beverwijk;2020;2400;2200;12;0;33700;0;9100
Man;15_tot_25_jaar;GM0310;De Bilt;2019;2400;2100;12;45600;36500;10000;4800
Man;15_tot_25_jaar;GM0310;De Bilt;2020;2400;2000;12;0;38000;0;5200
Man;15_tot_25_jaar;GM1728;Bladel;2019;1200;1200;12;40900;36800;15200;9900
Man;15_tot_25_jaar;GM1728;Bladel;2020;1200;1200;12;0;38400;0;10700
Man;15_tot_25_jaar;GM0376;Blaricum;2019;600;500;10;142500;38900;8500;4600
Man;15_tot_25_jaar;GM0376;Blaricum;2020;600;500;10;0;0;0;0
Man;15_tot_25_jaar;GM0377;Bloemendaal;2019;1300;1100;12;78900;45400;7800;3500
Man;15_tot_25_jaar;GM0377;Bloemendaal;2020;1300;1000;12;0;47300;0;3600
Man;15_tot_25_jaar;GM1901;Bodegraven-Reeuwijk;2019;2100;2000;13;42200;36900;14700;8700
Man;15_tot_25_jaar;GM1901;Bodegraven-Reeuwijk;2020;2200;2000;12;0;38200;0;9500
Man;15_tot_25_jaar;GM0755;Boekel;2019;700;700;14;41700;37100;15600;11600
Man;15_tot_25_jaar;GM0755;Boekel;2020;700;700;14;0;0;0;0
