Geslacht;Leeftijd;LeeftijdNaam;BurgerlijkeStaat;RegioS;RegioNaam;Perioden;BevolkingOp1Januari_1
TotaalManVrouw;10000;Totaal;Totaal burgelijke staat;GM0484;Alphen aan den Rijn;2021;112587
TotaalManVrouw;10000;Totaal;Totaal burgelijke staat;GM0377;Bloemendaal;2021;23478
TotaalManVrouw;10000;Totaal;Totaal burgelijke staat;GM0392;Haarlem;2021;162543
TotaalManVrouw;10000;Totaal;Totaal burgelijke staat;GM0393;Haarlemmerliede en Spaarnwoude;2021;0
TotaalManVrouw;10000;Totaal;Totaal burgelijke staat;GM0394;Haarlemmermeer;2021;157789
TotaalManVrouw;10000;Totaal;Totaal burgelijke staat;GM0397;Heemstede;2021;27545
TotaalManVrouw;10000;Totaal;Totaal burgelijke staat;GM0534;Hillegom;2021;22197
TotaalManVrouw;10000;Totaal;Totaal burgelijke staat;GM1884;Kaag en Braassem;2021;27541
TotaalManVrouw;10000;Totaal;Totaal burgelijke staat;GM0537;Katwijk;2021;65995
TotaalManVrouw;10000;Totaal;Totaal burgelijke staat;GM0546;Leiden;2021;124093
TotaalManVrouw;10000;Totaal;Totaal burgelijke staat;GM0547;Leiderdorp;2021;27377
TotaalManVrouw;10000;Totaal;Totaal burgelijke staat;GM1916;Leidschendam-Voorburg;2021;76433
TotaalManVrouw;10000;Totaal;Totaal burgelijke staat;GM0553;Lisse;2021;22982
TotaalManVrouw;10000;Totaal;Totaal burgelijke staat;GM0575;Noordwijk;2021;44062
TotaalManVrouw;10000;Totaal;Totaal burgelijke staat;GM0576;Noordwijkerhout;2021;0
TotaalManVrouw;10000;Totaal;Totaal burgelijke staat;GM0579;Oegstgeest;2021;25064
TotaalManVrouw;10000;Totaal;Totaal burgelijke staat;GM1525;Teylingen;2021;37791
TotaalManVrouw;10000;Totaal;Totaal burgelijke staat;GM0629;Wassenaar;2021;26949
TotaalManVrouw;10000;Totaal;Totaal burgelijke staat;GM0473;Zandvoort;2021;17168
TotaalManVrouw;10000;Totaal;Totaal burgelijke staat;GM0638;Zoeterwoude;2021;8843
TotaalManVrouw;10000;Totaal;Ongehuwd;GM0484;Alphen aan den Rijn;2021;52711
TotaalManVrouw;10000;Totaal;Ongehuwd;GM0377;Bloemendaal;2021;10318
TotaalManVrouw;10000;Totaal;Ongehuwd;GM0392;Haarlem;2021;90254
